Purple Coordinates;Orange Coordinates
(1180, 61);(883, 600)
(1180, 61);(886, 596)
(1178, 61);(886, 596)
(1178, 61);(881, 600)
(1178, 61);(880, 600)
(1178, 61);(880, 600)
(1178, 61);(880, 600)
(1178, 62);(880, 600)
(1178, 63);(881, 600)
(1178, 63);(881, 600)
(1180, 64);(881, 600)
(1180, 64);(881, 600)
(1180, 64);(881, 600)
(1180, 63);(881, 600)
(1183, 59);(880, 600)
(1180, 61);(880, 600)
(1180, 61);(881, 600)
(1180, 61);(881, 600)
(1180, 61);(881, 600)
(1180, 61);(881, 600)
(1180, 61);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(881, 600)
(1178, 54);(881, 600)
(1178, 54);(881, 601)
(1178, 54);(881, 601)
(1178, 54);(881, 602)
(1178, 54);(881, 601)
(1178, 54);(880, 600)
(1178, 54);(880, 600)
(1176, 60);(884, 595)
(1176, 60);(880, 598)
(1175, 59);(880, 599)
(1175, 59);(880, 599)
(1176, 59);(881, 599)
(1178, 59);(881, 599)
(1180, 60);(881, 599)
(1180, 54);(881, 599)
(1180, 54);(880, 599)
(1184, 57);(879, 599)
(1184, 57);(878, 599)
(1184, 58);(878, 600)
(1182, 62);(875, 602)
(1181, 59);(875, 602)
(1186, 63);(875, 602)
(1186, 63);(875, 602)
(1187, 61);(875, 600)
(1186, 46);(875, 600)
(1184, 46);(875, 598)
(1184, 46);(873, 598)
(1184, 53);(873, 600)
(1192, 55);(873, 600)
(1196, 55);(875, 600)
(1204, 56);(875, 601)
(1204, 56);(875, 601)
(1204, 56);(875, 600)
(1204, 50);(874, 599)
(1204, 50);(872, 597)
(1204, 57);(874, 597)
(1204, 57);(874, 597)
(1202, 58);(874, 600)
(1196, 57);(872, 600)
(1196, 50);(874, 601)
(1196, 50);(874, 601)
(1196, 57);(874, 601)
(1198, 54);(876, 600)
(1199, 55);(876, 601)
(1199, 55);(876, 601)
(1199, 55);(876, 601)
(1190, 53);(876, 601)
(1190, 53);(872, 601)
(1190, 53);(872, 601)
(1192, 51);(872, 601)
(1190, 50);(872, 600)
(1190, 57);(872, 600)
(1190, 52);(879, 596)
(1190, 52);(879, 596)
(1194, 52);(879, 596)
(1194, 52);(879, 594)
(1196, 52);(879, 595)
(1199, 55);(876, 599)
(1196, 59);(871, 594)
(1195, 61);(875, 592)
(1194, 63);(874, 592)
(1194, 63);(875, 592)
(1194, 54);(872, 597)
(1194, 51);(879, 594)
(1192, 49);(879, 594)
(1190, 49);(880, 594)
(1192, 49);(880, 598)
(1193, 49);(869, 600)
(1194, 49);(869, 600)
(1194, 49);(869, 600)
(1194, 49);(869, 600)
(1190, 49);(869, 600)
(1190, 49);(867, 597)
(1188, 46);(866, 595)
(1190, 52);(864, 595)
(1188, 52);(864, 592)
(1188, 45);(864, 592)
(1188, 45);(889, 595)
(1188, 45);(891, 595)
(1188, 45);(891, 595)
(1188, 45);(891, 597)
(1188, 38);(872, 597)
(1188, 38);(871, 597)
(1189, 45);(866, 597)
(1190, 45);(866, 597)
(1190, 45);(864, 600)
(1190, 47);(864, 601)
(1190, 44);(864, 601)
(1189, 51);(865, 601)
(1186, 51);(866, 597)
(1186, 44);(866, 597)
(1184, 39);(867, 597)
(1186, 45);(867, 598)
(1184, 36);(867, 600)
(1186, 41);(867, 600)
(1189, 37);(867, 602)
(1189, 37);(867, 602)
(1188, 36);(867, 602)
(1186, 45);(871, 601)
(1186, 38);(867, 598)
(1188, 38);(867, 597)
(1186, 47);(871, 597)
(1188, 51);(867, 597)
(1184, 51);(867, 597)
(1184, 51);(875, 592)
(1184, 47);(874, 591)
(1184, 47);(876, 591)
(1182, 47);(876, 591)
(1184, 47);(876, 591)
(1182, 41);(871, 597)
(1186, 40);(871, 599)
(1186, 47);(871, 599)
(1186, 47);(871, 599)
(1187, 47);(871, 598)
(1190, 44);(871, 598)
(1188, 49);(871, 597)
(1186, 51);(871, 598)
(1188, 49);(876, 601)
(1184, 49);(878, 602)
(1175, 45);(880, 602)
(1174, 45);(878, 601)
(1171, 46);(882, 605)
(1170, 39);(880, 607)
(1168, 46);(877, 602)
(1168, 46);(877, 602)
(1170, 46);(875, 603)
(1170, 46);(875, 603)
(1166, 43);(871, 601)
(1176, 51);(871, 601)
(1176, 51);(871, 599)
(1176, 53);(871, 599)
(1170, 48);(872, 599)
(1168, 53);(872, 599)
(1168, 54);(872, 599)
(1168, 54);(873, 599)
(1165, 46);(872, 599)
(1166, 40);(873, 601)
(1168, 46);(873, 601)
(1164, 46);(871, 601)
(1164, 45);(871, 601)
(1164, 51);(869, 599)
(1164, 55);(867, 599)
(1168, 55);(866, 599)
(1168, 55);(866, 598)
(1168, 54);(865, 599)
(1168, 53);(866, 599)
(1170, 46);(866, 599)
(1171, 49);(864, 597)
(1170, 49);(864, 599)
(1170, 49);(866, 600)
(1172, 47);(866, 603)
(1168, 50);(868, 603)
(1168, 50);(868, 603)
(1168, 48);(869, 603)
(1167, 44);(869, 605)
(1168, 47);(869, 606)
(1166, 47);(872, 606)
(1162, 54);(876, 607)
(1162, 55);(877, 609)
(1162, 55);(878, 609)
(1164, 56);(879, 609)
(1169, 54);(878, 609)
(1169, 55);(878, 608)
(1169, 55);(884, 605)
(1169, 57);(871, 606)
(1166, 60);(870, 606)
(1169, 57);(870, 606)
(1167, 54);(870, 607)
(1167, 54);(870, 607)
(1168, 50);(869, 607)
(1168, 40);(869, 606)
(1175, 43);(870, 606)
(1170, 40);(868, 606)
(1176, 43);(869, 606)
(1172, 46);(870, 606)
(1173, 39);(869, 606)
(1172, 39);(869, 604)
(1172, 38);(869, 604)
(1168, 41);(869, 604)
(1172, 38);(868, 604)
(1172, 38);(869, 604)
(1172, 41);(869, 605)
(1172, 41);(871, 605)
(1172, 41);(871, 605)
(1172, 41);(871, 605)
(1172, 41);(871, 605)
(1172, 41);(871, 606)
(1172, 37);(872, 606)
(1172, 40);(872, 606)
(1172, 40);(871, 606)
(1172, 40);(873, 606)
(1173, 40);(873, 606)
(1172, 47);(873, 606)
(1174, 48);(883, 606)
(1178, 64);(884, 607)
(1188, 83);(885, 611)
(1189, 83);(885, 611)
(1189, 83);(885, 611)
(1182, 69);(875, 609)
(1182, 69);(875, 606)
(1180, 69);(875, 606)
(1180, 69);(875, 606)
(1178, 68);(875, 606)
(1178, 61);(875, 607)
(1178, 52);(875, 606)
(1176, 52);(875, 607)
(1178, 52);(875, 607)
(1176, 59);(876, 607)
(1176, 59);(887, 606)
(1176, 59);(881, 605)
(1176, 52);(881, 605)
(1176, 52);(881, 605)
(1178, 52);(880, 605)
(1176, 58);(879, 605)
(1176, 57);(879, 605)
(1176, 57);(879, 604)
(1177, 50);(873, 604)
(1176, 50);(879, 604)
(1176, 50);(879, 604)
(1176, 50);(879, 604)
(1176, 56);(871, 605)
(1176, 57);(871, 606)
(1176, 57);(870, 606)
(1176, 57);(870, 606)
(1176, 57);(870, 606)
(1176, 52);(870, 606)
(1176, 52);(870, 606)
(1176, 59);(870, 606)
(1176, 59);(870, 604)
(1176, 59);(870, 605)
(1176, 59);(870, 604)
(1176, 61);(869, 603)
(1176, 63);(869, 602)
(1178, 63);(869, 598)
(1178, 63);(868, 598)
(1178, 63);(868, 598)
(1178, 65);(872, 595)
(1178, 58);(869, 599)
(1178, 64);(876, 599)
(1182, 61);(876, 599)
(1182, 61);(876, 599)
(1182, 61);(876, 599)
(1182, 61);(872, 602)
(1178, 58);(870, 602)
(1178, 58);(870, 602)
(1178, 65);(870, 602)
(1178, 65);(869, 603)
(1182, 60);(869, 604)
(1184, 65);(869, 604)
(1181, 62);(869, 604)
(1181, 62);(870, 602)
(1173, 67);(871, 600)
(1174, 67);(871, 600)
(1174, 67);(871, 598)
(1174, 68);(871, 598)
(1174, 68);(871, 599)
(1174, 68);(868, 601)
(1174, 71);(867, 600)
(1174, 71);(867, 600)
(1173, 72);(867, 599)
(1173, 72);(866, 599)
(1173, 72);(869, 598)
(1174, 64);(870, 598)
(1174, 64);(870, 598)
(1174, 64);(874, 595)
(1174, 64);(874, 595)
(1172, 72);(876, 595)
(1174, 72);(876, 595)
(1172, 73);(876, 595)
(1174, 73);(876, 597)
(1173, 66);(876, 599)
(1174, 71);(876, 600)
(1176, 64);(876, 600)
(1176, 64);(876, 600)
(1176, 64);(879, 600)
(1174, 71);(880, 600)
(1174, 71);(880, 600)
(1174, 71);(880, 599)
(1174, 71);(881, 598)
(1173, 72);(882, 598)
(1173, 72);(882, 598)
(1172, 72);(880, 597)
(1172, 72);(880, 597)
(1172, 72);(880, 597)
(1172, 73);(880, 599)
(1172, 73);(878, 599)
(1169, 70);(878, 599)
(1169, 70);(877, 600)
(1172, 73);(876, 600)
(1172, 73);(876, 599)
(1175, 69);(876, 598)
(1172, 73);(876, 598)
(1172, 73);(876, 598)
(1172, 75);(878, 598)
(1174, 75);(878, 598)
(1174, 75);(878, 598)
(1174, 75);(877, 598)
(1172, 68);(876, 598)
(1172, 68);(876, 596)
(1172, 75);(876, 598)
(1172, 75);(876, 598)
(1174, 75);(871, 601)
(1174, 76);(871, 602)
(1174, 75);(871, 602)
(1174, 75);(871, 603)
(1174, 75);(871, 602)
(1174, 75);(871, 603)
(1174, 68);(871, 603)
(1174, 68);(871, 603)
(1177, 71);(871, 604)
(1177, 71);(871, 604)
(1172, 73);(871, 604)
(1172, 73);(871, 604)
(1174, 73);(872, 604)
(1174, 66);(872, 604)
(1174, 66);(872, 604)
(1174, 66);(871, 604)
(1174, 66);(871, 604)
(1175, 70);(869, 603)
(1172, 73);(869, 602)
(1172, 73);(869, 602)
(1173, 75);(868, 602)
(1173, 75);(869, 602)
(1172, 75);(870, 602)
(1173, 70);(870, 602)
(1174, 77);(870, 602)
(1174, 77);(870, 602)
(1174, 77);(872, 603)
(1174, 77);(871, 602)
(1174, 77);(871, 602)
(1174, 68);(871, 602)
(1174, 68);(877, 599)
(1174, 68);(878, 599)
(1174, 73);(878, 599)
(1172, 66);(879, 599)
(1174, 72);(878, 599)
(1174, 72);(878, 599)
(1174, 68);(878, 599)
(1174, 68);(878, 599)
(1174, 77);(877, 599)
(1174, 77);(877, 599)
(1174, 75);(872, 603)
(1174, 74);(871, 603)
(1174, 74);(870, 603)
(1174, 74);(870, 603)
(1174, 74);(870, 603)
(1174, 74);(871, 603)
(1175, 77);(879, 599)
(1175, 77);(879, 599)
(1175, 77);(875, 604)
(1176, 74);(875, 604)
(1175, 74);(875, 604)
(1175, 74);(875, 604)
(1175, 74);(875, 604)
(1175, 74);(874, 604)
(1175, 74);(874, 604)
(1175, 74);(874, 604)
(1176, 74);(874, 604)
(1176, 74);(874, 604)
(1176, 74);(874, 604)
(1176, 74);(878, 600)
(1179, 70);(873, 604)
(1179, 70);(873, 604)
(1179, 70);(873, 604)
(1175, 66);(873, 602)
(1176, 73);(873, 602)
(1176, 74);(878, 600)
(1174, 74);(878, 600)
(1174, 76);(873, 603)
(1176, 76);(873, 603)
(1176, 76);(873, 603)
(1176, 77);(873, 603)
(1176, 70);(880, 600)
(1176, 70);(880, 599)
(1176, 70);(880, 599)
(1176, 70);(873, 602)
(1176, 70);(873, 603)
(1176, 70);(874, 600)
(1176, 70);(874, 600)
(1174, 70);(874, 600)
(1174, 70);(876, 600)
(1174, 76);(876, 600)
(1179, 73);(876, 599)
(1176, 68);(876, 599)
(1176, 68);(873, 602)
(1176, 68);(882, 599)
(1177, 66);(882, 599)
(1177, 66);(882, 599)
(1177, 66);(882, 599)
(1176, 66);(877, 602)
(1176, 66);(872, 602)
(1176, 73);(872, 602)
(1174, 75);(872, 602)
(1174, 75);(872, 602)
(1174, 73);(873, 602)
(1174, 73);(873, 602)
(1174, 73);(876, 598)
(1174, 73);(871, 602)
(1179, 70);(871, 602)
(1179, 70);(871, 602)
(1179, 70);(871, 602)
(1176, 71);(871, 602)
(1176, 71);(871, 602)
(1176, 71);(871, 602)
(1176, 71);(871, 602)
(1179, 69);(872, 604)
(1174, 75);(871, 604)
(1174, 75);(872, 604)
(1174, 75);(872, 604)
(1171, 72);(871, 604)
(1176, 66);(871, 604)
(1176, 66);(870, 604)
(1178, 66);(869, 602)
(1178, 66);(869, 602)
(1178, 66);(868, 602)
(1176, 73);(868, 602)
(1176, 73);(868, 602)
(1177, 67);(867, 602)
(1176, 73);(867, 602)
(1176, 73);(867, 602)
(1176, 73);(867, 602)
(1176, 73);(868, 602)
(1178, 66);(868, 602)
(1180, 71);(868, 602)
(1183, 68);(868, 602)
(1178, 71);(868, 602)
(1178, 71);(875, 602)
(1178, 73);(875, 602)
(1178, 75);(875, 602)
(1178, 75);(868, 604)
(1176, 75);(869, 604)
(1176, 73);(869, 604)
(1176, 73);(868, 604)
(1176, 73);(869, 604)
(1176, 73);(871, 604)
(1176, 73);(871, 604)
(1176, 73);(871, 604)
(1178, 68);(871, 604)
(1179, 71);(871, 604)
(1176, 68);(871, 604)
(1176, 73);(872, 604)
(1176, 73);(872, 603)
(1176, 73);(875, 600)
(1176, 73);(876, 600)
(1176, 73);(876, 599)
(1176, 73);(875, 598)
(1173, 67);(875, 598)
(1172, 73);(876, 598)
(1170, 73);(877, 598)
(1170, 73);(878, 600)
(1170, 73);(878, 600)
(1170, 66);(882, 598)
(1168, 68);(880, 596)
(1171, 65);(880, 596)
(1168, 60);(880, 596)
(1168, 63);(880, 596)
(1168, 63);(880, 596)
(1168, 59);(878, 596)
(1168, 59);(878, 596)
(1170, 57);(875, 596)
(1167, 58);(874, 594)
(1168, 58);(874, 593)
(1170, 57);(874, 592)
(1170, 57);(874, 592)
(1170, 57);(874, 592)
(1170, 57);(869, 597)
(1172, 53);(866, 597)
(1168, 55);(866, 598)
(1168, 54);(866, 598)
(1168, 54);(865, 598)
(1168, 54);(865, 598)
(1168, 54);(865, 598)
(1168, 53);(865, 598)
(1170, 51);(867, 598)
(1168, 51);(870, 598)
(1170, 49);(871, 599)
(1168, 49);(871, 599)
(1168, 49);(870, 600)
(1168, 49);(867, 603)
(1168, 49);(866, 602)
(1170, 51);(862, 602)
(1170, 51);(864, 599)
(1168, 53);(861, 602)
(1170, 53);(861, 601)
(1172, 53);(862, 601)
(1172, 55);(866, 600)
(1174, 55);(868, 601)
(1173, 51);(872, 597)
(1174, 49);(876, 597)
(1176, 40);(876, 597)
(1172, 45);(872, 602)
(1170, 42);(871, 601)
(1166, 42);(867, 601)
(1164, 41);(867, 604)
(1162, 41);(872, 601)
(1162, 42);(871, 604)
(1162, 43);(872, 604)
(1162, 36);(874, 603)
(1162, 44);(891, 592)
(1162, 44);(892, 593)
(1162, 44);(892, 593)
(1164, 36);(892, 593)
(1166, 39);(875, 597)
(1169, 38);(880, 594)
(1168, 43);(880, 597)
(1170, 41);(880, 597)
(1172, 49);(882, 597)
(1172, 49);(877, 602)
(1179, 43);(880, 598)
(1174, 45);(880, 598)
(1174, 46);(878, 598)
(1174, 45);(876, 598)
(1174, 45);(876, 596)
(1174, 44);(875, 596)
(1175, 45);(871, 599)
(1175, 45);(875, 597)
(1174, 46);(875, 597)
(1174, 48);(870, 600)
(1174, 48);(870, 600)
(1174, 49);(868, 600)
(1174, 49);(867, 600)
(1176, 50);(867, 600)
(1176, 50);(863, 600)
(1176, 54);(862, 601)
(1178, 55);(860, 601)
(1182, 52);(860, 601)
(1180, 52);(865, 597)
(1180, 52);(861, 600)
(1180, 52);(867, 597)
(1180, 57);(864, 601)
(1180, 50);(868, 597)
(1178, 57);(866, 600)
(1178, 58);(866, 600)
(1182, 58);(865, 600)
(1182, 65);(865, 600)
(1180, 67);(870, 599)
(1180, 71);(872, 601)
(1182, 72);(869, 605)
(1180, 72);(869, 605)
(1180, 71);(868, 605)
(1180, 69);(867, 604)
(1183, 65);(867, 604)
(1182, 63);(866, 601)
(1182, 63);(870, 597)
(1182, 62);(870, 597)
(1176, 66);(870, 597)
(1174, 64);(870, 597)
(1173, 63);(870, 597)
(1174, 63);(868, 597)
(1176, 63);(868, 597)
(1180, 61);(868, 597)
(1178, 67);(865, 600)
(1182, 67);(866, 601)
(1184, 60);(866, 601)
(1184, 60);(866, 601)
(1188, 61);(866, 601)
(1184, 65);(864, 601)
(1184, 63);(862, 601)
(1184, 64);(862, 601)
(1187, 59);(862, 601)
(1181, 61);(859, 604)
(1184, 61);(863, 607)
(1184, 61);(863, 607)
(1184, 61);(863, 607)
(1187, 59);(866, 606)
(1182, 61);(866, 606)
(1184, 64);(868, 606)
(1184, 64);(872, 603)
(1184, 63);(875, 600)
(1184, 63);(875, 600)
(1182, 58);(875, 600)
(1182, 64);(875, 600)
(1182, 64);(875, 600)
(1182, 58);(871, 603)
(1184, 58);(871, 603)
(1184, 65);(871, 603)
(1184, 65);(871, 603)
(1180, 65);(871, 604)
(1180, 65);(871, 604)
(1180, 65);(871, 604)
(1180, 65);(871, 604)
(1180, 58);(872, 604)
(1180, 58);(872, 604)
(1183, 61);(872, 604)
(1183, 60);(872, 604)
(1182, 60);(871, 604)
(1178, 58);(870, 604)
(1178, 64);(870, 604)
(1177, 66);(870, 604)
(1177, 66);(874, 600)
(1177, 66);(872, 600)
(1178, 58);(872, 600)
(1178, 65);(872, 601)
(1182, 61);(872, 601)
(1182, 61);(869, 604)
(1178, 65);(869, 604)
(1181, 60);(869, 604)
(1178, 65);(869, 604)
(1180, 63);(870, 604)
(1180, 60);(871, 604)
(1180, 61);(871, 603)
(1180, 61);(872, 603)
(1180, 61);(873, 603)
(1180, 61);(873, 603)
(1180, 61);(874, 604)
(1180, 61);(874, 604)
(1180, 60);(874, 604)
(1180, 60);(874, 604)
(1180, 54);(872, 604)
(1183, 57);(872, 604)
(1177, 54);(871, 604)
(1174, 58);(869, 605)
(1178, 60);(869, 605)
(1175, 65);(867, 606)
(1176, 58);(867, 606)
(1174, 61);(867, 606)
(1180, 57);(869, 604)
(1177, 60);(870, 604)
(1176, 65);(870, 604)
(1176, 65);(871, 604)
(1176, 65);(871, 604)
(1174, 65);(870, 604)
(1174, 65);(870, 605)
(1174, 65);(870, 605)
(1174, 65);(869, 606)
(1174, 61);(867, 606)
(1174, 61);(867, 606)
(1174, 61);(867, 606)
(1174, 61);(866, 605)
(1174, 61);(866, 605)
(1172, 61);(866, 605)
(1172, 61);(866, 605)
(1172, 61);(866, 604)
(1172, 63);(866, 604)
(1172, 63);(866, 604)
(1172, 64);(867, 604)
(1174, 64);(866, 604)
(1174, 63);(863, 604)
(1174, 63);(867, 602)
(1174, 63);(867, 602)
(1174, 63);(867, 602)
(1174, 56);(868, 602)
(1174, 56);(869, 602)
(1174, 63);(869, 602)
(1174, 63);(871, 602)
(1174, 63);(872, 602)
(1174, 63);(873, 602)
(1174, 63);(873, 601)
(1182, 63);(874, 602)
(1182, 63);(878, 599)
(1180, 61);(878, 599)
(1182, 61);(874, 602)
(1183, 61);(868, 602)
(1182, 61);(866, 602)
(1180, 61);(870, 600)
(1182, 61);(870, 599)
(1182, 61);(870, 599)
(1182, 61);(870, 598)
(1184, 61);(870, 597)
(1184, 61);(870, 597)
(1178, 61);(868, 597)
(1178, 61);(868, 597)
(1178, 61);(868, 600)
(1178, 61);(868, 600)
(1178, 63);(868, 600)
(1181, 59);(866, 600)
(1181, 60);(866, 600)
(1181, 60);(866, 600)
(1178, 63);(864, 605)
(1178, 63);(864, 605)
(1183, 60);(872, 601)
(1178, 63);(867, 605)
(1178, 63);(866, 606)
(1178, 63);(866, 606)
(1178, 52);(866, 606)
(1178, 52);(866, 606)
(1174, 56);(866, 605)
(1174, 56);(866, 605)
(1174, 48);(872, 601)
(1176, 54);(872, 603)
(1175, 54);(872, 603)
(1175, 54);(872, 603)
(1176, 56);(872, 603)
(1178, 55);(876, 600)
(1178, 55);(874, 605)
(1183, 50);(876, 605)
(1183, 50);(876, 606)
(1180, 53);(881, 605)
(1180, 53);(883, 606)
(1182, 56);(891, 607)
(1182, 56);(891, 607)
(1180, 52);(888, 610)
(1182, 57);(884, 608)
(1182, 57);(880, 608)
(1185, 57);(880, 603)
(1182, 54);(882, 601)
(1186, 56);(882, 601)
(1186, 58);(880, 601)
(1188, 67);(877, 601)
(1186, 67);(877, 602)
(1186, 67);(877, 602)
(1188, 67);(875, 601)
(1190, 60);(877, 602)
(1188, 65);(877, 603)
(1192, 63);(877, 603)
(1194, 63);(875, 606)
(1193, 63);(878, 606)
(1193, 63);(879, 603)
(1191, 63);(878, 605)
(1191, 63);(878, 605)
(1191, 65);(884, 608)
(1190, 58);(884, 608)
(1193, 62);(884, 607)
(1189, 63);(885, 606)
(1189, 63);(885, 606)
(1190, 63);(884, 605)
(1187, 54);(877, 606)
(1185, 61);(872, 606)
(1184, 60);(871, 601)
(1186, 52);(866, 599)
(1184, 52);(866, 599)
(1184, 52);(866, 599)
(1184, 59);(867, 602)
(1186, 59);(867, 602)
(1186, 65);(874, 607)
(1186, 65);(875, 607)
(1188, 58);(879, 607)
(1188, 58);(882, 607)
(1186, 65);(882, 608)
(1186, 67);(883, 608)
(1187, 67);(886, 608)
(1188, 67);(887, 608)
(1188, 67);(890, 606)
(1188, 67);(890, 606)
(1188, 67);(890, 606)
(1186, 67);(886, 609)
(1186, 59);(885, 605)
(1184, 59);(878, 609)
(1184, 59);(878, 609)
(1184, 68);(878, 610)
(1184, 79);(879, 610)
(1188, 76);(879, 610)
(1184, 74);(879, 610)
(1185, 73);(879, 608)
(1180, 73);(880, 605)
(1180, 73);(873, 606)
(1180, 73);(872, 604)
(1180, 72);(872, 604)
(1176, 69);(872, 598)
(1179, 64);(873, 597)
(1176, 60);(873, 595)
(1176, 60);(873, 596)
(1178, 60);(874, 595)
(1179, 68);(875, 596)
(1180, 62);(880, 595)
(1180, 62);(872, 595)
(1182, 69);(872, 596)
(1182, 69);(872, 596)
(1182, 69);(872, 596)
(1189, 68);(881, 595)
(1188, 66);(873, 596)
(1190, 72);(873, 596)
(1190, 73);(869, 599)
(1190, 73);(869, 599)
(1192, 73);(869, 599)
(1197, 67);(869, 594)
(1198, 68);(869, 595)
(1198, 75);(866, 595)
(1203, 72);(870, 591)
(1198, 74);(871, 598)
(1200, 68);(866, 595)
(1200, 68);(866, 595)
(1200, 68);(869, 593)
(1200, 75);(871, 593)
(1202, 75);(872, 593)
(1200, 75);(872, 594)
(1200, 75);(872, 594)
(1200, 75);(872, 595)
(1200, 75);(869, 595)
(1200, 75);(869, 594)
(1200, 75);(869, 591)
(1200, 74);(867, 592)
(1200, 75);(867, 592)
(1200, 75);(870, 591)
(1198, 68);(870, 591)
(1200, 68);(867, 591)
(1200, 68);(875, 583)
(1200, 68);(875, 587)
(1200, 68);(875, 587)
(1200, 68);(872, 592)
(1202, 75);(872, 595)
(1200, 75);(871, 595)
(1200, 75);(871, 595)
(1202, 73);(871, 592)
(1200, 68);(870, 591)
(1200, 68);(870, 592)
(1200, 68);(870, 592)
(1200, 74);(870, 593)
(1202, 73);(870, 593)
(1202, 73);(870, 593)
(1202, 73);(871, 593)
(1202, 73);(871, 592)
(1200, 68);(871, 592)
(1205, 72);(870, 594)
(1202, 68);(870, 594)
(1202, 73);(870, 594)
(1202, 73);(870, 590)
(1202, 73);(872, 590)
(1200, 73);(872, 590)
(1200, 73);(870, 592)
(1200, 73);(868, 592)
(1202, 73);(866, 592)
(1200, 73);(866, 591)
(1202, 73);(866, 588)
(1202, 66);(872, 586)
(1202, 73);(872, 586)
(1202, 72);(880, 585)
(1202, 66);(867, 595)
(1202, 72);(867, 595)
(1202, 72);(867, 595)
(1202, 72);(880, 588)
(1202, 73);(872, 588)
(1202, 73);(875, 586)
(1202, 73);(877, 589)
(1202, 73);(880, 585)
(1202, 73);(872, 595)
(1202, 73);(870, 596)
(1202, 73);(868, 596)
(1202, 72);(867, 596)
(1202, 72);(866, 594)
(1202, 72);(866, 593)
(1202, 72);(867, 593)
(1202, 72);(867, 593)
(1200, 71);(869, 598)
(1200, 71);(869, 598)
(1200, 71);(869, 598)
(1200, 71);(872, 592)
(1202, 71);(874, 588)
(1205, 68);(874, 588)
(1205, 67);(874, 588)
(1204, 67);(867, 595)
(1200, 71);(867, 595)
(1205, 68);(867, 594)
(1202, 72);(874, 594)
(1202, 71);(871, 594)
(1200, 72);(871, 593)
(1201, 72);(874, 590)
(1205, 69);(870, 593)
(1205, 69);(871, 593)
(1200, 71);(871, 595)
(1200, 70);(873, 594)
(1200, 70);(873, 594)
(1204, 68);(874, 592)
(1200, 70);(879, 587)
(1200, 69);(880, 587)
(1200, 70);(880, 587)
(1200, 70);(880, 589)
(1200, 69);(873, 594)
(1200, 70);(873, 594)
(1203, 68);(873, 593)
(1203, 68);(873, 590)
(1203, 68);(873, 590)
(1203, 68);(877, 585)
(1203, 68);(882, 585)
(1200, 71);(883, 585)
(1200, 71);(883, 587)
(1200, 70);(879, 591)
(1200, 71);(879, 591)
(1200, 71);(879, 591)
(1200, 71);(882, 591)
(1202, 64);(883, 584)
(1200, 64);(883, 584)
(1200, 71);(883, 584)
(1198, 70);(877, 595)
(1200, 69);(877, 595)
(1198, 70);(877, 594)
(1200, 69);(877, 590)
(1200, 69);(877, 590)
(1200, 69);(877, 590)
(1200, 69);(884, 592)
(1200, 69);(884, 592)
(1200, 70);(876, 592)
(1203, 68);(873, 593)
(1203, 68);(880, 594)
(1203, 68);(880, 595)
(1200, 63);(871, 596)
(1203, 68);(871, 596)
(1200, 63);(880, 596)
(1203, 67);(880, 596)
(1203, 67);(877, 591)
(1203, 67);(877, 591)
(1203, 67);(877, 591)
(1200, 69);(876, 590)
(1200, 69);(877, 594)
(1200, 69);(873, 589)
(1198, 69);(874, 589)
(1198, 70);(874, 589)
(1198, 70);(878, 595)
(1198, 69);(878, 596)
(1198, 69);(878, 598)
(1196, 69);(878, 598)
(1196, 69);(878, 600)
(1199, 63);(878, 598)
(1197, 62);(878, 598)
(1194, 67);(874, 596)
(1194, 67);(873, 596)
(1194, 67);(873, 596)
(1194, 67);(874, 597)
(1194, 67);(874, 597)
(1194, 67);(874, 597)
(1194, 67);(874, 596)
(1196, 67);(874, 594)
(1196, 67);(874, 594)
(1196, 67);(874, 594)
(1196, 60);(867, 594)
(1198, 67);(867, 594)
(1198, 67);(867, 594)
(1198, 67);(867, 594)
(1200, 67);(868, 595)
(1200, 67);(878, 596)
(1200, 67);(878, 596)
(1200, 67);(876, 597)
(1200, 67);(876, 597)
(1200, 67);(878, 597)
(1202, 67);(877, 597)
(1202, 67);(879, 597)
(1200, 68);(880, 597)
(1200, 68);(880, 597)
(1200, 68);(880, 597)
(1200, 68);(873, 596)
(1200, 68);(873, 596)
(1200, 68);(882, 597)
(1200, 68);(882, 598)
(1200, 67);(882, 598)
(1200, 67);(882, 598)
(1202, 67);(882, 598)
(1202, 67);(882, 597)
(1202, 67);(882, 596)
(1199, 69);(882, 596)
(1200, 69);(882, 597)
(1202, 69);(882, 597)
(1202, 69);(882, 596)
(1202, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(882, 600)
(1200, 69);(870, 599)
(1200, 69);(870, 599)
(1200, 69);(870, 600)
(1199, 68);(870, 600)
(1199, 68);(870, 600)
(1199, 68);(871, 600)
(1199, 68);(871, 601)
(1199, 68);(871, 601)
(1199, 68);(871, 601)
(1199, 68);(871, 601)
(1200, 67);(871, 600)
(1196, 60);(871, 600)
(1200, 62);(871, 600)
(1196, 67);(871, 600)
(1196, 67);(871, 600)
(1196, 67);(871, 600)
(1196, 67);(871, 597)
(1196, 67);(871, 597)
(1196, 67);(871, 597)
(1196, 67);(870, 599)
(1196, 67);(868, 599)
(1195, 67);(867, 599)
(1196, 67);(866, 599)
(1196, 67);(866, 599)
(1196, 67);(866, 599)
