Purple Coordinates;Orange Coordinates
(1176, 49);(869, 594)
(1176, 47);(868, 589)
(1178, 47);(868, 589)
(1178, 47);(866, 589)
(1180, 47);(861, 590)
(1180, 47);(861, 592)
(1180, 40);(861, 592)
(1180, 40);(869, 592)
(1180, 40);(871, 593)
(1182, 42);(871, 592)
(1182, 42);(871, 592)
(1182, 42);(858, 591)
(1182, 48);(855, 592)
(1182, 47);(855, 591)
(1182, 47);(854, 591)
(1180, 47);(854, 590)
(1180, 49);(855, 587)
(1178, 44);(857, 586)
(1178, 44);(857, 586)
(1182, 44);(857, 587)
(1182, 51);(863, 588)
(1184, 55);(863, 588)
(1186, 55);(864, 588)
(1186, 56);(863, 583)
(1184, 57);(863, 583)
(1184, 57);(863, 583)
(1180, 56);(867, 579)
(1180, 56);(860, 591)
(1180, 48);(860, 596)
(1182, 54);(860, 596)
(1182, 55);(861, 598)
(1182, 56);(861, 600)
(1182, 55);(862, 600)
(1180, 55);(863, 600)
(1180, 55);(863, 600)
(1180, 57);(863, 594)
(1180, 57);(863, 594)
(1180, 57);(863, 594)
(1180, 57);(863, 602)
(1180, 57);(863, 603)
(1176, 57);(863, 603)
(1176, 57);(861, 602)
(1176, 57);(859, 602)
(1176, 57);(866, 597)
(1178, 56);(866, 597)
(1178, 53);(866, 597)
(1178, 53);(866, 597)
(1180, 52);(857, 598)
(1182, 51);(857, 598)
(1184, 51);(854, 596)
(1184, 51);(851, 596)
(1184, 51);(858, 596)
(1184, 52);(855, 590)
(1186, 53);(854, 594)
(1188, 53);(855, 594)
(1188, 53);(855, 594)
(1188, 53);(855, 594)
(1188, 48);(855, 594)
(1188, 55);(853, 597)
(1188, 53);(853, 597)
(1188, 55);(853, 600)
(1188, 48);(855, 600)
(1188, 48);(858, 600)
(1188, 48);(859, 600)
(1192, 48);(860, 600)
(1192, 48);(860, 600)
(1192, 48);(860, 600)
(1192, 48);(861, 600)
(1192, 56);(860, 601)
(1192, 58);(860, 600)
(1192, 58);(857, 600)
(1192, 58);(856, 598)
(1192, 58);(855, 598)
(1192, 57);(855, 598)
(1192, 58);(855, 598)
(1192, 58);(855, 598)
(1194, 52);(855, 599)
(1194, 52);(855, 599)
(1192, 59);(864, 601)
(1190, 59);(866, 601)
(1190, 59);(866, 602)
(1190, 59);(866, 602)
(1194, 55);(866, 601)
(1192, 52);(859, 600)
(1190, 52);(859, 600)
(1192, 52);(859, 598)
(1195, 55);(859, 597)
(1194, 55);(860, 597)
(1194, 55);(860, 596)
(1190, 52);(860, 596)
(1190, 52);(860, 596)
(1190, 52);(858, 598)
(1190, 52);(858, 598)
(1193, 55);(855, 600)
(1193, 55);(854, 600)
(1194, 55);(854, 600)
(1195, 55);(854, 600)
(1192, 50);(854, 600)
(1192, 56);(854, 603)
(1192, 53);(859, 603)
(1192, 53);(863, 603)
(1193, 49);(863, 604)
(1188, 52);(863, 605)
(1188, 52);(866, 606)
(1190, 46);(861, 606)
(1192, 49);(860, 605)
(1185, 50);(860, 605)
(1188, 55);(853, 602)
(1188, 55);(854, 602)
(1184, 56);(855, 602)
(1184, 56);(855, 601)
(1184, 58);(855, 601)
(1184, 57);(854, 602)
(1182, 57);(850, 602)
(1182, 57);(850, 602)
(1182, 57);(850, 603)
(1180, 55);(850, 603)
(1182, 55);(850, 602)
(1180, 56);(853, 601)
(1180, 57);(854, 599)
(1180, 57);(854, 598)
(1180, 57);(854, 598)
